"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","GRADRATE","UPPSRY_WOMEN","PC","A","2010",88,
"CAN","GRADRATE","UPPSRY_WOMEN","PC","A","2011",90.4,
"CAN","GRADRATE","UPPSRY_WOMEN","PC","A","2012",88.6,
"CAN","GRADRATE","UPPSRY_WOMEN","PC","A","2013",93,
"CAN","GRADRATE","UPPSRY_WOMEN","PC","A","2014",93.3,
"CAN","GRADRATE","UPPSRY_WOMEN","PC","A","2015",91.6,
"CZE","GRADRATE","UPPSRY","PC","A","2005",115.6,
"CZE","GRADRATE","UPPSRY","PC","A","2010",110.3,
"CZE","GRADRATE","UPPSRY","PC","A","2011",104.6,
"CZE","GRADRATE","UPPSRY","PC","A","2012",109.4,
"CZE","GRADRATE","UPPSRY","PC","A","2013",77.6,
"CZE","GRADRATE","UPPSRY","PC","A","2014",74,
"CZE","GRADRATE","UPPSRY","PC","A","2015",76.1,
"CZE","GRADRATE","UPPSRY_MEN","PC","A","2005",137.2,
"CZE","GRADRATE","UPPSRY_MEN","PC","A","2010",135.3,
"CZE","GRADRATE","UPPSRY_MEN","PC","A","2011",101.7,
"CZE","GRADRATE","UPPSRY_MEN","PC","A","2012",104.7,
"CZE","GRADRATE","UPPSRY_MEN","PC","A","2013",76.8,
"CZE","GRADRATE","UPPSRY_MEN","PC","A","2014",74.2,
"CZE","GRADRATE","UPPSRY_MEN","PC","A","2015",75.8,
"CZE","GRADRATE","UPPSRY_WOMEN","PC","A","2005",147.4,
"CZE","GRADRATE","UPPSRY_WOMEN","PC","A","2010",147,
"CZE","GRADRATE","UPPSRY_WOMEN","PC","A","2011",107.7,
"CZE","GRADRATE","UPPSRY_WOMEN","PC","A","2012",114.3,
"CZE","GRADRATE","UPPSRY_WOMEN","PC","A","2013",78.5,
"CZE","GRADRATE","UPPSRY_WOMEN","PC","A","2014",73.7,
"CZE","GRADRATE","UPPSRY_WOMEN","PC","A","2015",76.4,
"DNK","GRADRATE","UPPSRY","PC","A","2005",83.3,
"DNK","GRADRATE","UPPSRY","PC","A","2010",85.4,
"DNK","GRADRATE","UPPSRY","PC","A","2011",88.6,
"DNK","GRADRATE","UPPSRY","PC","A","2012",93.1,
"DNK","GRADRATE","UPPSRY","PC","A","2013",95.1,
"DNK","GRADRATE","UPPSRY","PC","A","2014",94,
"DNK","GRADRATE","UPPSRY","PC","A","2015",91.8,
"DNK","GRADRATE","UPPSRY_MEN","PC","A","2005",76.6,
"DNK","GRADRATE","UPPSRY_MEN","PC","A","2010",82.3,
"DNK","GRADRATE","UPPSRY_MEN","PC","A","2011",84.9,
"DNK","GRADRATE","UPPSRY_MEN","PC","A","2012",87.5,
"DNK","GRADRATE","UPPSRY_MEN","PC","A","2013",89.7,
"DNK","GRADRATE","UPPSRY_MEN","PC","A","2014",89,
"DNK","GRADRATE","UPPSRY_MEN","PC","A","2015",85.2,
"DNK","GRADRATE","UPPSRY_WOMEN","PC","A","2005",90.2,
"DNK","GRADRATE","UPPSRY_WOMEN","PC","A","2010",88.7,
"DNK","GRADRATE","UPPSRY_WOMEN","PC","A","2011",92.4,
"DNK","GRADRATE","UPPSRY_WOMEN","PC","A","2012",99.1,
"DNK","GRADRATE","UPPSRY_WOMEN","PC","A","2013",100.7,
"DNK","GRADRATE","UPPSRY_WOMEN","PC","A","2014",99.2,
"DNK","GRADRATE","UPPSRY_WOMEN","PC","A","2015",98.7,
"FIN","GRADRATE","UPPSRY","PC","A","2005",93.7,
"FIN","GRADRATE","UPPSRY","PC","A","2010",95.1,
"FIN","GRADRATE","UPPSRY","PC","A","2011",97.9,
"FIN","GRADRATE","UPPSRY","PC","A","2012",95.1,
